K,t_s,I1,Q1,I2,Q2
100,0.04848,62.3391196,38.4439708,63.8629702,-39.0487076
100,0.04849,47.1658748,56.0359934,72.9995626,-16.5545891
100,0.0485,27.2615645,68.0188392,74.4400205,7.69749817
100,0.04851,4.57846381,73.1616499,68.0749179,31.1120984
100,0.04852,-18.5869703,70.9142399,54.5582601,51.2650714
100,0.04853,-39.8607861,61.5188076,35.2505251,66.0152617
100,0.04854,-57.1590235,45.963738,12.2395591,73.8705166
100,0.04855,-68.641142,25.739092,-12.0808362,73.8781142
100,0.04856,-73.2454921,2.95274973,-35.096575,66.1050216
100,0.04857,-70.5220074,-20.1499793,-54.4185086,51.4060487
100,0.04858,-60.6804002,-41.2403282,-68.0285731,31.286053
100,0.04859,-44.7258802,-58.2084533,-74.4738982,7.87134869
100,0.0486,-24.2572851,-69.3242629,-73.0587567,-16.4061789
100,0.04861,-1.30163308,-73.4567196,-63.9738713,-38.9374935
100,0.04862,21.7450598,-70.15125,-48.1581033,-57.3590755
100,0.04863,42.6313759,-59.7895856,-27.2908541,-69.7420334
100,0.04864,59.1760696,-43.4097078,-3.53050763,-74.8321661
100,0.04865,69.7869385,-22.6737958,20.6194019,-72.0280491
100,0.04866,73.3521007,0.356524716,42.5998094,-61.6228064
100,0.04867,69.5525635,23.3410994,60.0640174,-44.7433416
100,0.04868,58.7489768,43.9839089,71.214228,-23.1822553
100,0.04869,42.0299835,60.1552651,74.8742181,0.816623559
100,0.0487,21.0347455,70.3030031,70.6426792,24.7181075
100,0.04871,-2.07411275,73.3501467,59.0763035,46.0030419
100,0.04872,-24.9593194,69.0197117,41.2699437,62.4949117
100,0.04873,-45.3338196,57.7466172,19.1134214,72.4094629
100,0.04874,-61.1501701,40.6495344,-5.05629784,74.7201096
100,0.04875,-70.8266215,19.4339948,-28.6956977,69.1674089
100,0.04876,-73.3489913,-3.75037625,-49.3085123,56.3724632
100,0.04877,-68.4907224,-26.5305331,-64.7370084,37.6197444
100,0.04878,-56.7364236,-46.6687186,-73.3852881,14.937732
100,0.04879,-39.2829003,-62.0704948,-74.3200966,-9.29357972
100,0.0488,-17.8592627,-71.2377915,-67.434465,-32.6017604
100,0.04881,5.35774716,-73.2420914,-53.4699402,-52.4417748
100,0.04882,28.024779,-67.8751547,-33.9032589,-66.8026902
100,0.04883,47.9097635,-55.7073388,-10.7412943,-74.1161133
100,0.04884,62.9438414,-37.8678901,13.5326927,-73.6868527
100,0.04885,71.6567096,-16.2124184,36.4068596,-65.4886228
100,0.04886,73.1375633,7.04756091,55.455808,-50.36823
100,0.04887,67.2514943,29.6013561,68.6319153,-29.9862189
100,0.04888,54.5756854,49.1799064,74.6534619,-6.45073525
100,0.04889,36.4335752,63.8099699,72.7894492,17.7603081
100,0.0489,14.6181046,72.0525391,63.3071373,40.1081312
100,0.04891,-8.71811347,72.967229,47.1857985,58.2518026
100,0.04892,-31.1566792,66.5460204,26.0787624,70.2615036
100,0.04893,-50.4524824,53.4069753,2.22178449,74.9265344
100,0.04894,-64.643738,34.9484496,-21.868197,71.6835681
100,0.04895,-72.3359635,12.9237147,-43.6394329,60.9687873
100,0.04896,-72.748411,-10.3831503,-60.8469483,43.7866686
100,0.04897,-65.8463404,-32.6641873,-71.6396858,22.0112622
100,0.04898,-52.2912745,-51.6904148,-74.9312235,-2.05736011
100,0.04899,-33.4576642,-65.481027,-70.3354242,-25.9195371
100,0.049,-11.2106084,-72.6655264,-58.4104999,-47.0283014
100,0.04901,12.1511007,-72.5203054,-40.2916984,-63.2677052
100,0.04902,34.2695548,-65.0674382,-17.9137383,-72.8599208
100,0.04903,52.9463078,-51.0648551,6.3310599,-74.7316702
100,0.04904,66.2914477,-31.9031322,29.9190114,-68.7706845
100,0.04905,72.9710021,-9.51288692,50.349682,-55.5877428
100,0.04906,72.2645008,13.8308564,65.5100043,-36.5599401
100,0.04907,64.2945153,35.7876061,73.75634,-13.6813603
100,0.04908,49.8169663,54.1379098,74.217284,10.5775351
100,0.04909,30.3341918,67.0379202,66.9069892,33.740965
100,0.0491,7.79747576,73.2145281,52.571902,53.39976
100,0.04911,-15.5456904,71.9328965,32.7278535,67.4068484
100,0.04912,-37.3170141,63.4322068,9.48517484,74.3555003
100,0.04913,-55.3466155,48.5558084,-14.7621121,73.4947779
100,0.04914,-67.7598638,28.7605891,-37.4743153,64.9240966
100,0.04915,-73.3761761,6.06665596,-56.2472093,49.5339545
100,0.04916,-71.5823049,-17.2687095,-69.169758,28.9539624
100,0.04917,-62.5440081,-38.8439676,-74.7982583,5.29780489
100,0.04918,-47.2272729,-56.5326992,-72.5509593,-18.9011265
100,0.04919,-27.1276674,-68.4756412,-62.7548214,-41.1110625
100,0.0492,-4.28734488,-73.4999594,-46.3222797,-59.0115537
100,0.04921,18.9704476,-71.1169229,-25.0348559,-70.7148964
100,0.04922,40.2966601,-61.5970748,-1.08127792,-74.9807944
100,0.04923,57.601895,-45.8601388,22.9303918,-71.3709137
100,0.04924,69.0684303,-25.4631202,44.5166823,-60.3071819
100,0.04925,73.5823718,-2.55975087,61.4744495,-42.9380317
100,0.04926,70.6283866,20.6697572,71.9898948,-21.0252359
100,0.04927,60.574111,41.7839665,74.956748,3.11435736
100,0.04928,44.4489503,58.6910994,70.0320634,26.9129637
100,0.04929,23.7724882,69.6673272,57.7249828,47.9046544
100,0.0493,0.737855329,73.6220223,39.3806366,63.8051027
100,0.04931,-22.384962,70.1392782,16.9369372,73.064151
100,0.04932,-43.2764704,59.5859611,-7.27197127,74.6596094
100,0.04933,-59.791992,43.0169368,-30.7378756,68.378682
100,0.04934,-70.2825194,22.1020622,-50.9704107,54.9914961
100,0.04935,-73.673718,-1.07015926,-65.8963453,35.8197947
100,0.04936,-69.5886674,-24.1366938,-73.892986,12.8752777
100,0.04937,-58.5134006,-44.706032,-74.1674278,-11.4259842
100,0.04938,-41.5584146,-60.8280369,-66.6386547,-34.5268954
100,0.04939,-20.371154,-70.8097878,-52.0988694,-54.0017643
100,0.0494,2.92401611,-73.6531739,-32.0734144,-67.8182061
100,0.04941,25.8751609,-69.020396,-8.72032682,-74.4936413
100,0.04942,46.2238033,-57.4336987,15.5314209,-73.3974593
100,0.04943,61.9361884,-40.0480746,38.1542426,-64.5759839
100,0.04944,71.3561799,-18.5788927,56.8115552,-48.9644843
100,0.04945,73.6166562,4.75331889,69.4836439,-28.2458183
100,0.04946,68.3862034,27.5924767,74.8806819,-4.53534102
100,0.04947,56.2711697,47.6800921,72.4153117,19.6431042
100,0.04948,38.4494225,62.9155773,62.3243716,41.7769087
100,0.04949,16.791878,71.7875435,45.7023208,59.5563388
100,0.0495,-6.56616346,73.4474774,24.2828359,71.03437
100,0.04951,-29.2767993,67.6892078,0.313776485,75.0728141
100,0.04952,-49.0661395,55.0782125,-23.6974751,71.2430336
100,0.04953,-63.8930794,36.9291536,-45.2056535,59.9294855
100,0.04954,-72.2706062,15.0168365,-62.0033844,42.3300044
100,0.04955,-73.3023364,-8.42789388,-72.2899996,20.3209647
100,0.04956,-66.9412721,-30.9716616,-75.0077977,-3.87614969
100,0.04957,-53.861047,-50.4431387,-69.8267323,-27.6535343
100,0.04958,-35.3083694,-64.7944346,-57.3127397,-48.5339595
100,0.04959,-13.2130184,-72.6170846,-38.8045832,-64.3001036
100,0.0496,10.2778428,-73.086216,-16.2487815,-73.3176975
100,0.04961,32.7038518,-66.1573775,8.03085994,-74.6933725
100,0.04962,51.8304138,-52.5397578,31.4828909,-68.2341448
100,0.04963,65.6970773,-33.6375633,51.6149652,-54.5849249
100,0.04964,72.9507746,-11.3189906,66.3598141,-35.2097551
100,0.04965,72.8195925,12.1349333,74.1269471,-12.1615732
100,0.04966,65.3383335,34.3892028,74.1344411,12.164143
100,0.04967,51.2251445,53.1281006,66.3631828,35.1926056
100,0.04968,31.9186171,66.5325556,51.6119574,54.5462519
100,0.04969,9.41825158,73.1705716,31.4612353,68.1714555
100,0.0497,-14.0338513,72.4203121,8.00911525,74.6618038
100,0.04971,-36.0641952,64.3470346,-16.2796458,73.3061426
100,0.04972,-54.4468002,49.7961339,-38.8651018,64.2356155
100,0.04973,-67.3293328,30.1878658,-57.3467489,48.4397502
100,0.04974,-73.4040001,7.54111598,-69.7852252,27.5881442
100,0.04975,-72.0388536,-15.8727874,-74.9502536,3.86926884
100,0.04976,-63.4131839,-37.7091295,-72.2603052,-20.2840919
100,0.04977,-48.3926772,-55.7027121,-61.9906787,-42.3160029
100,0.04978,-28.4789498,-68.0833949,-45.2347273,-59.9244726
100,0.04979,-5.66909912,-73.5519328,-23.7197677,-71.2136969
100,0.0498,17.7080752,-71.6093708,0.253411869,-75.0579383
100,0.04981,39.2742541,-62.4248752,24.2299364,-71.0377155
100,0.04982,56.9159827,-46.9663015,45.6498765,-59.5707636
100,0.04983,68.7896919,-26.7076127,62.3086215,-41.853855
100,0.04984,73.7235638,-3.78028914,72.4145509,-19.7494047
100,0.04985,71.1980355,19.5612771,74.9212952,4.42009274
100,0.04986,61.4806156,40.9337909,69.6122975,28.1416647
100,0.04987,45.503227,58.1515911,56.9832054,48.9389558
100,0.04988,24.9375051,69.5059424,38.3709047,64.5577892
100,0.04989,1.85623376,73.8426636,15.7368241,73.4242089
100,0.0499,-21.4289688,70.6860044,-8.51129964,74.5865779
100,0.04991,-42.5170568,60.426608,-31.8911549,67.9647708
100,0.04992,-59.3073573,44.0257474,-51.9216424,54.2093879
100,0.04993,-70.1425429,23.2001071,-66.5156243,34.7892295
100,0.04994,-73.8797305,-0.00825982532,-74.1454109,11.7346818
100,0.04995,-70.1328829,-23.224989,-74.0129534,-12.5667319
100,0.04996,-59.3016491,-44.0387127,-66.1371346,-35.5441989
100,0.04997,-42.4751018,-60.392453,-51.3401008,-54.810341
100,0.04998,-21.3754151,-70.6623599,-31.1614907,-68.316295
100,0.04999,1.85341124,-73.816103,-7.71904806,-74.6865872
150,0,1.14834839,-19.9670052,-19.9851287,-0.771122195
150,1e-05,7.38261255,-19.5735898,-19.6827391,-7.1855602
150,2e-05,13.484727,-17.2246471,-17.3598512,-13.4627589
150,3e-05,18.812619,-12.9660269,-13.0189988,-18.9882881
150,4e-05,22.799312,-7.03647511,-6.89111139,-23.1176161
150,5e-05,24.933425,0.0844327277,0.515149943,-25.2316833
150,6e-05,24.8242256,7.8841287,8.60700285,-24.9587731
150,7e-05,22.2430468,15.6237636,16.5784787,-22.1055934
150,8e-05,17.2498078,22.4927187,23.5970484,-16.6920281
150,9e-05,10.1126019,27.7769274,28.789942,-9.02108751
150,0.0001,1.37281579,30.7697137,31.5155144,0.272768984
150,0.00011,-8.2532308,30.9618566,31.1903319,10.3793701
150,0.00012,-17.8805943,28.1645582,27.572759,20.342906
150,0.00013,-26.5622026,22.3530116,20.8278656,29.0196521
150,0.00014,-33.2935494,13.8206539,11.2983519,35.3932424
150,0.00015,-37.2520659,3.26751136,-0.152989961,38.6435055
150,0.00016,-37.881068,-8.37879487,-12.519726,38.0960504
150,0.00017,-34.7791914,-20.0987256,-24.5499931,33.5921421
150,0.00018,-28.0149282,-30.7049992,-34.9772907,25.2347371
150,0.00019,-18.0103628,-39.0104269,-42.5099896,13.6069002
150,0.0002,-5.54021592,-44.0255669,-46.173029,-0.271415887
150,0.00021,8.32366512,-44.9909053,-45.2401091,-15.0630402
150,0.00022,22.2348684,-41.5912164,-39.498238,-29.2810325
150,0.00023,34.7914796,-33.8330111,-29.2323304,-41.3162285
150,0.00024,44.6357303,-22.239255,-15.3153615,-49.7232195
150,0.00025,50.6152054,-7.81228614,1.00718848,-53.407453
150,0.00026,51.8949811,8.19353135,18.1092527,-51.6901495
150,0.00027,48.0253979,24.1934881,34.1990977,-44.4663795
150,0.00028,39.2437622,38.5421878,47.477901,-32.2312279
150,0.00029,26.0874919,49.7896281,56.3809313,-16.0682765
150,0.0003,9.78191533,56.4781213,59.7478977,2.49387067
150,0.00031,-8.15445246,57.8594814,56.9873842,21.5498294
150,0.00032,-25.993289,53.4966629,48.1096082,39.0917385
150,0.00033,-41.8585046,43.6243637,33.848932,53.1134117
150,0.00034,-54.097141,29.0763806,15.59211,61.9810625
150,0.00035,-61.3171073,11.1691939,-4.88542026,64.6333357
150,0.00036,-62.5976707,-8.38767293,-25.3949842,60.5176449
150,0.00037,-57.621053,-27.6795747,-43.7461222,49.9331363
150,0.00038,-46.7777874,-44.6565918,-57.9478326,33.8152544
150,0.00039,-30.9767409,-57.5508399,-66.3354511,13.8450778
150,0.0004,-11.7759236,-64.9608061,-67.9264863,-8.01946245
150,0.00041,9.00390684,-65.9948306,-62.3982653,-29.4553257
150,0.00042,29.2631864,-60.4327906,-50.1805712,-48.1607401
150,0.00043,46.9046188,-48.7369517,-32.4413253,-62.0559015
150,0.00044,60.1160535,-31.9858932,-11.0595431,-69.5788622
150,0.00045,67.5187213,-11.8144692,11.7623017,-69.9044627
150,0.00046,68.255027,9.82519948,33.6480083,-62.8186271
150,0.00047,62.154896,30.7066726,52.1648018,-49.0368688
150,0.00048,49.7584664,48.7500118,65.332705,-29.926878
150,0.00049,32.2423367,62.0452903,71.7276491,-7.53110683
150,0.0005,11.3647277,69.286548,70.6453833,15.8516441
150,0.00051,-10.8330436,69.6313621,62.0741357,37.704475
150,0.00052,-32.0943154,63.0139784,46.9201299,55.7319397
150,0.00053,-50.2835546,50.0168881,26.6933374,67.9769513
150,0.00054,-63.5555494,31.909152,3.57687372,73.1027903
150,0.00055,-70.5042102,10.5376724,-20.0387395,70.546412
150,0.00056,-70.4277209,-12.0175789,-41.6169715,60.5408881
150,0.00057,-63.289502,-33.4404441,-58.891871,44.1220453
150,0.00058,-49.8179389,-51.627702,-70.0058948,22.948139
150,0.00059,-31.2572185,-64.6856735,-73.7907035,-0.665562377
150,0.0006,-9.50587871,-71.3474588,-69.7835233,-24.281155
150,0.00061,13.247616,-70.833687,-58.4116656,-45.4012925
150,0.00062,34.7492258,-63.2481452,-40.8547572,-61.7990511
150,0.00063,52.8656302,-49.3045426,-18.9182295,-71.6881405
150,0.00064,65.6812493,-30.3503672,5.01971592,-74.047124
150,0.00065,71.9254647,-8.3202002,28.5036302,-68.5936275
150,0.00066,70.9715686,14.5620242,49.0099019,-55.8784654
150,0.00067,62.943993,36.0665284,64.341093,-37.2381082
150,0.00068,48.5786426,53.9711769,72.9200822,-14.6854111
150,0.00069,29.2816327,66.5027435,73.8498283,9.4487955
150,0.0007,7.02416049,72.3797946,66.9827645,32.6389536
150,0.00071,-15.9743838,70.9815751,53.015124,52.3961357
150,0.00072,-37.3682598,62.4888811,33.4506774,66.672874
150,0.00073,-55.0843439,47.6968345,10.3314399,73.8811072
150,0.00074,-67.2597667,28.0785751,-13.8913667,73.321053
150,0.00075,-72.7295903,5.62881552,-36.6755834,65.0424046
150,0.00076,-70.8660027,-17.4033347,-55.578498,49.8842066
150,0.00077,-61.8976256,-38.6915256,-68.6461611,29.4603047
150,0.00078,-46.6999372,-56.129941,-74.4833764,5.92050405
150,0.00079,-26.7909277,-67.9182129,-72.4771101,-18.2728046
150,0.0008,-4.21862728,-72.9186282,-62.8019759,-40.5376083
150,0.00081,18.8333835,-70.5741894,-46.5173859,-58.5264423
150,0.00082,39.9816251,-61.1806811,-25.3263032,-70.3354451
150,0.00083,57.1284291,-45.5837663,-1.45717016,-74.7650323
150,0.00084,68.551966,-25.4350427,22.5832668,-71.3143013
150,0.00085,73.099796,-2.73046073,44.2416736,-60.3610727
150,0.00086,70.3082503,20.3088326,61.2836465,-43.0176492
150,0.00087,60.4138941,41.2744791,71.8427761,-21.0969389
150,0.00088,44.5038589,58.1149286,74.8279362,3.0403492
150,0.00089,24.1051561,69.1359402,69.9381831,26.8264785
150,0.0009,1.26223675,73.2432884,57.6557179,47.8380028
150,0.00091,-21.7296173,69.9780346,39.2980659,63.7794007
150,0.00092,-42.5587395,59.6811517,16.7867109,73.0166168
150,0.00093,-59.1205182,43.365251,-7.49270809,74.550828
150,0.00094,-69.7321444,22.6755689,-30.9945982,68.2418678
150,0.00095,-73.3565056,-0.3085529,-51.2309179,54.7394294
150,0.00096,-69.5815883,-23.2462141,-66.0679291,35.4457509
150,0.00097,-58.8097261,-43.8467983,-73.9371787,12.4301426
150,0.00098,-42.1205699,-60.0533592,-73.991163,-11.9031503
150,0.00099,-21.1874573,-70.2176343,-66.3138882,-34.9559828
150,0.001,1.8893048,-73.34227,-51.633568,-54.3292109
150,0.00101,24.7322531,-69.0817559,-31.5139598,-68.0083664
150,0.00102,45.1155665,-57.856805,-8.07444868,-74.4992992
150,0.00103,60.9578424,-40.8061863,16.2422371,-73.1886141
150,0.00104,70.6970227,-19.6724983,38.8274918,-64.1020004
150,0.00105,73.3175615,3.45655199,57.3341066,-48.3311107
150,0.00106,68.5670362,26.2527335,69.7519439,-27.4401418
150,0.00107,56.8762431,46.381408,74.8619577,-3.64205386
150,0.00108,39.4816445,61.8508827,72.0955043,20.5334131
150,0.00109,18.132547,71.085784,61.7152333,42.5331581
150,0.0011,-5.00109828,73.2051916,44.8659565,60.0272978
150,0.00111,-27.6300816,67.9709596,23.2864838,71.2247905
150,0.00112,-47.5430087,55.8866214,-0.735642669,74.9685925
150,0.00113,-62.6401143,38.166392,-24.6872706,70.7870054
150,0.00114,-71.4470224,16.6591992,-46.0852712,59.1372497
150,0.00115,-73.1038266,-6.54636182,-62.5436793,41.2797867
150,0.00116,-67.3934132,-29.103054,-72.5130039,19.1031086
150,0.00117,-54.8869211,-48.7536501,-74.8081333,-5.11427231
150,0.00118,-36.890983,-63.5019284,-69.2515981,-28.7866256
150,0.00119,-15.1285164,-71.871545,-56.3816019,-49.3978637
150,0.0012,8.15542785,-73.0280431,-37.6291109,-64.8430129
150,0.00121,30.627285,-66.7993654,-14.8836492,-73.4854187
