formation_id,name,date_reported,location,source_url,satellite_count,inner_outer_ratio,outer_diameter_m,inner_diameter_m,raw_measurement_text,provenance
CC-1990-05-29-MORGANS-HILL-DEVIZES-WILTSHIRE-FORMED-28-29TH-MAY,"Morgans Hill, Devizes, Wiltshire. Formed 28/29th May",1990-05-29,"Morgans Hill, Devizes, Wiltshire. Formed 28/29th May",https://www.cropcirclearchives.co.uk/archives/1990/Morganshill90.html,,0.104167,,,absolute dimensions unavailable; calculate scale-free ratios from imagery,COOKBOOK_EXTRACTED_ALL_IMAGES
CC-1990-05-30-LONGWARREN-CHILCOMB-HAMPSHIRE,"Longwarren, Chilcomb, Hampshire",1990-05-30,"Longwarren, Chilcomb, Hampshire",https://www.cropcirclearchives.co.uk/archives/1990/Longwarren90a.html,,0.135802,,,absolute dimensions unavailable; calculate scale-free ratios from imagery,COOKBOOK_EXTRACTED_ALL_IMAGES
CC-1990-06-02-STONE-PITT-HILL-BLACKLAND-WILTSHIRE-2,"Stone Pitt Hill, Blackland, Wiltshire",1990-06-02,"Stone Pitt Hill, Blackland, Wiltshire",https://www.cropcirclearchives.co.uk/archives/1990/Blackland90.html,,0.055118,,,absolute dimensions unavailable; calculate scale-free ratios from imagery,COOKBOOK_EXTRACTED_ALL_IMAGES
CC-1990-06-06-LONGWOOD-ESTATE-2-CHEESEFOOT-HEAD-WINCHESTER-HAMPSHIRE--2,"Longwood Estate (2), Cheesefoot Head, Winchester, Hampshire. Formed 6th June",1990-06-06,"Longwood Estate (2), Cheesefoot Head, Winchester, Hampshire. Formed 6th June",https://www.cropcirclearchives.co.uk/archives/1990/wood90.html,,0.089744,,,absolute dimensions unavailable; calculate scale-free ratios from imagery,COOKBOOK_EXTRACTED_ALL_IMAGES
CC-1990-06-07-MAIZELEY-FARM-FIELDS-THE-GALLOPS-WINCHESTER-HAMPSHIRE-F,"Maizeley Farm Fields (The Gallops), Winchester, Hampshire. Formed 7th June",1990-06-07,"Maizeley Farm Fields (The Gallops), Winchester, Hampshire. Formed 7th June",https://www.cropcirclearchives.co.uk/archives/1990/gaia90.html,,0.092025,,,absolute dimensions unavailable; calculate scale-free ratios from imagery,COOKBOOK_EXTRACTED_ALL_IMAGES
CC-1990-06-16-TELEGRAPH-HILL-CHEESEFOOT-HEAD-WINCHESTER-HAMPSHIRE-FOR,"Telegraph Hill, Cheesefoot Head, Winchester, Hampshire. Formed 16th June",1990-06-16,"Telegraph Hill, Cheesefoot Head, Winchester, Hampshire. Formed 16th June",https://www.cropcirclearchives.co.uk/archives/1990/tele90.html,,0.113043,,,absolute dimensions unavailable; calculate scale-free ratios from imagery,COOKBOOK_EXTRACTED_ALL_IMAGES
CC-1990-06-20-LONGWARREN-CHILCOMB-HAMPSHIRE,"Longwarren, Chilcomb, Hampshire",1990-06-20,"Longwarren, Chilcomb, Hampshire",https://www.cropcirclearchives.co.uk/archives/1990/Longwarren90.html,,0.094595,,,absolute dimensions unavailable; calculate scale-free ratios from imagery,COOKBOOK_EXTRACTED_ALL_IMAGES
CC-1990-06-23-LITCHFIELD-A34-ROAD-NEWBURY-HAMPSHIRE-FORMED-23RD-JUNE,"Litchfield, (A34 road), Newbury, Hampshire. Formed 23rd June",1990-06-23,"Litchfield, (A34 road), Newbury, Hampshire. Formed 23rd June",https://www.cropcirclearchives.co.uk/archives/1990/litchfield90.html,,0.084337,,,absolute dimensions unavailable; calculate scale-free ratios from imagery,COOKBOOK_EXTRACTED_ALL_IMAGES
CC-1990-06-28-LONGWOOD-ESTATE-CHEESEFOOT-HEAD-WINCHESTER-HAMPSHIRE-FO,"Longwood Estate, Cheesefoot Head, Winchester, Hampshire. Formed 28th June",1990-06-28,"Longwood Estate, Cheesefoot Head, Winchester, Hampshire. Formed 28th June",https://www.cropcirclearchives.co.uk/archives/1990/cheese90.html,,0.064327,,,absolute dimensions unavailable; calculate scale-free ratios from imagery,COOKBOOK_EXTRACTED_ALL_IMAGES
CC-1990-07-12-ALTON-BARNES-DEVIZES-WILTSHIRE,"Alton Barnes, Devizes, Wiltshire",1990-07-12,"Alton Barnes, Devizes, Wiltshire",https://www.cropcirclearchives.co.uk/archives/1990/efield90.html,,0.105263,,,absolute dimensions unavailable; calculate scale-free ratios from imagery,COOKBOOK_EXTRACTED_ALL_IMAGES
CC-1990-07-12-CROP-CIRCLES-OF-1990,CROP CIRCLES OF 1990,1990-07-12,CROP CIRCLES OF 1990,https://www.cropcirclearchives.co.uk/archives/1990/1990a.html,,0.098446,,,absolute dimensions unavailable; calculate scale-free ratios from imagery,COOKBOOK_EXTRACTED_ALL_IMAGES
CC-1990-07-13-CRAWLEY-DOWN-NORTH-OF-SALISBURY-WILTSHIRE-FORMED-13TH-J,"Crawley Down, North of Salisbury, Wiltshire. Formed 13th July",1990-07-13,"Crawley Down, North of Salisbury, Wiltshire. Formed 13th July",https://www.cropcirclearchives.co.uk/archives/1990/char90.html,,0.156977,,,absolute dimensions unavailable; calculate scale-free ratios from imagery,COOKBOOK_EXTRACTED_ALL_IMAGES
CC-1990-UNKNOWN-CHILCOMB-FARM-CHEESEFOOT-HEAD-WINCHESTER-HAMPSHIRE-FORM,"Chilcomb Farm, Cheesefoot Head, Winchester, Hampshire. Formed 23rd May",1990-unknown,"Chilcomb Farm, Cheesefoot Head, Winchester, Hampshire. Formed 23rd May",https://www.cropcirclearchives.co.uk/archives/1990/Punchbowl90.html,,0.151163,,,absolute dimensions unavailable; calculate scale-free ratios from imagery,COOKBOOK_EXTRACTED_ALL_IMAGES
