x_mm,y_mm,z_mm,value_normalized,raw_max_j_m3
-5.8288,-10.8314,21.1436,3.054204e-04,2.659363e-04
-6.4659,10.4637,21.1436,3.098589e-04,2.659363e-04
-12.2947,-0.3678,21.1436,4.206691e-04,2.659363e-04
5.8288,10.8314,21.1436,2.897478e-04,2.659363e-04
-4.5162,-7.8346,43.8772,1.244669e-32,2.659363e-04
11.6339,-0.0000,37.4466,1.399865e-02,2.659363e-04
-5.8230,10.0753,37.4466,9.384777e-03,2.659363e-04
-5.8140,-10.0805,37.4466,9.778145e-03,2.659363e-04
-11.6369,-0.0052,37.4466,4.327990e-03,2.659363e-04
5.8140,10.0805,37.4466,1.617171e-01,2.659363e-04
5.8200,-10.0805,37.4466,1.603843e-01,2.659363e-04
2.3818,0.0000,6.7412,1.434586e-05,2.659363e-04
0.5954,1.0313,6.7412,1.254001e-05,2.659363e-04
-0.5954,-1.0313,6.7412,1.253029e-05,2.659363e-04
-2.3818,0.0000,6.7412,1.428989e-05,2.659363e-04
8.5242,-0.0000,56.9016,1.010675e-01,2.659363e-04
6.9116,5.3289,59.0745,8.564646e-02,2.659363e-04
6.9116,-5.3289,59.0745,8.564646e-02,2.659363e-04
8.3754,-0.0000,61.2474,9.498890e-02,2.659363e-04
11.2887,-0.0000,46.1493,1.358138e-32,2.659363e-04
-5.6453,9.7763,46.1493,1.258977e-32,2.659363e-04
-5.6438,-9.7771,46.1493,1.646935e-32,2.659363e-04
-11.2892,-0.0009,46.1493,1.391784e-32,2.659363e-04
5.6438,9.7771,46.1493,1.776184e-01,2.659363e-04
5.6448,-9.7771,46.1493,1.778395e-01,2.659363e-04
-7.0091,-6.4835,41.6983,1.011942e-32,2.659363e-04
-2.0942,-9.3171,41.6983,7.039509e-33,2.659363e-04
10.9417,-0.0000,54.8418,2.991815e-32,2.659363e-04
-5.4710,9.4757,54.8418,1.078291e-32,2.659363e-04
-5.4707,-9.4759,54.8418,1.883597e-32,2.659363e-04
-10.9417,-0.0001,54.8418,1.148436e-32,2.659363e-04
5.4707,9.4759,54.8418,1.891777e-01,2.659363e-04
5.4709,-9.4759,54.8418,1.892181e-01,2.659363e-04
-5.5972,0.0000,10.1540,4.530985e-05,2.659363e-04
-2.7986,-4.8473,10.1540,3.310815e-05,2.659363e-04
