child,input_state,input_octal,source_known,source_known_output,affine_family_consensus,consensus_output,possible_output_count,possible_outputs,input_hyperplane_mask,input_hyperplane_constant,input_in_fixed_hyperplane,output_hyperplane_mask,output_hyperplane_constant,evidence_status
6,31,37,False,,False,,32,0 2 4 6 9 11 13 15 17 19 21 23 24 26 28 30 33 35 37 39 40 42 44 46 48 50 52 54 57 59 61 63,26,0,False,57,1,UNDERDETERMINED
6,32,40,False,,True,43,1,43,26,0,True,57,1,AFFINE_FAMILY_CONDITIONAL_CONSENSUS
6,33,41,False,,True,41,1,41,26,0,True,57,1,AFFINE_FAMILY_CONDITIONAL_CONSENSUS
6,34,42,False,,False,,32,0 2 4 6 9 11 13 15 17 19 21 23 24 26 28 30 33 35 37 39 40 42 44 46 48 50 52 54 57 59 61 63,26,0,False,57,1,UNDERDETERMINED
6,35,43,False,,False,,32,0 2 4 6 9 11 13 15 17 19 21 23 24 26 28 30 33 35 37 39 40 42 44 46 48 50 52 54 57 59 61 63,26,0,False,57,1,UNDERDETERMINED
6,36,44,False,,True,20,1,20,26,0,True,57,1,AFFINE_FAMILY_CONDITIONAL_CONSENSUS
6,37,45,False,,True,22,1,22,26,0,True,57,1,AFFINE_FAMILY_CONDITIONAL_CONSENSUS
6,38,46,False,,False,,32,0 2 4 6 9 11 13 15 17 19 21 23 24 26 28 30 33 35 37 39 40 42 44 46 48 50 52 54 57 59 61 63,26,0,False,57,1,UNDERDETERMINED
6,39,47,False,,False,,32,0 2 4 6 9 11 13 15 17 19 21 23 24 26 28 30 33 35 37 39 40 42 44 46 48 50 52 54 57 59 61 63,26,0,False,57,1,UNDERDETERMINED
6,40,50,False,,False,,32,0 2 4 6 9 11 13 15 17 19 21 23 24 26 28 30 33 35 37 39 40 42 44 46 48 50 52 54 57 59 61 63,26,0,False,57,1,UNDERDETERMINED
6,41,51,False,,False,,32,0 2 4 6 9 11 13 15 17 19 21 23 24 26 28 30 33 35 37 39 40 42 44 46 48 50 52 54 57 59 61 63,26,0,False,57,1,UNDERDETERMINED
6,42,52,False,,True,58,1,58,26,0,True,57,1,AFFINE_FAMILY_CONDITIONAL_CONSENSUS
6,43,53,False,,True,56,1,56,26,0,True,57,1,AFFINE_FAMILY_CONDITIONAL_CONSENSUS
6,44,54,False,,False,,32,0 2 4 6 9 11 13 15 17 19 21 23 24 26 28 30 33 35 37 39 40 42 44 46 48 50 52 54 57 59 61 63,26,0,False,57,1,UNDERDETERMINED
6,45,55,False,,False,,32,0 2 4 6 9 11 13 15 17 19 21 23 24 26 28 30 33 35 37 39 40 42 44 46 48 50 52 54 57 59 61 63,26,0,False,57,1,UNDERDETERMINED
6,46,56,False,,True,5,1,5,26,0,True,57,1,AFFINE_FAMILY_CONDITIONAL_CONSENSUS
6,47,57,False,,True,7,1,7,26,0,True,57,1,AFFINE_FAMILY_CONDITIONAL_CONSENSUS
6,48,60,False,,False,,32,0 2 4 6 9 11 13 15 17 19 21 23 24 26 28 30 33 35 37 39 40 42 44 46 48 50 52 54 57 59 61 63,26,0,False,57,1,UNDERDETERMINED
6,49,61,False,,False,,32,0 2 4 6 9 11 13 15 17 19 21 23 24 26 28 30 33 35 37 39 40 42 44 46 48 50 52 54 57 59 61 63,26,0,False,57,1,UNDERDETERMINED
6,50,62,False,,True,8,1,8,26,0,True,57,1,AFFINE_FAMILY_CONDITIONAL_CONSENSUS
6,51,63,False,,True,10,1,10,26,0,True,57,1,AFFINE_FAMILY_CONDITIONAL_CONSENSUS
6,52,64,False,,False,,32,0 2 4 6 9 11 13 15 17 19 21 23 24 26 28 30 33 35 37 39 40 42 44 46 48 50 52 54 57 59 61 63,26,0,False,57,1,UNDERDETERMINED
6,53,65,False,,False,,32,0 2 4 6 9 11 13 15 17 19 21 23 24 26 28 30 33 35 37 39 40 42 44 46 48 50 52 54 57 59 61 63,26,0,False,57,1,UNDERDETERMINED
6,54,66,False,,True,55,1,55,26,0,True,57,1,AFFINE_FAMILY_CONDITIONAL_CONSENSUS
6,55,67,True,53,True,53,1,53,26,0,True,57,1,SOURCE_KNOWN
6,56,70,False,,True,25,1,25,26,0,True,57,1,AFFINE_FAMILY_CONDITIONAL_CONSENSUS
6,57,71,False,,True,27,1,27,26,0,True,57,1,AFFINE_FAMILY_CONDITIONAL_CONSENSUS
6,58,72,False,,False,,32,0 2 4 6 9 11 13 15 17 19 21 23 24 26 28 30 33 35 37 39 40 42 44 46 48 50 52 54 57 59 61 63,26,0,False,57,1,UNDERDETERMINED
6,59,73,False,,False,,32,0 2 4 6 9 11 13 15 17 19 21 23 24 26 28 30 33 35 37 39 40 42 44 46 48 50 52 54 57 59 61 63,26,0,False,57,1,UNDERDETERMINED
6,60,74,False,,True,38,1,38,26,0,True,57,1,AFFINE_FAMILY_CONDITIONAL_CONSENSUS
6,61,75,True,36,True,36,1,36,26,0,True,57,1,SOURCE_KNOWN
6,62,76,False,,False,,32,0 2 4 6 9 11 13 15 17 19 21 23 24 26 28 30 33 35 37 39 40 42 44 46 48 50 52 54 57 59 61 63,26,0,False,57,1,UNDERDETERMINED
6,63,77,False,,False,,32,0 2 4 6 9 11 13 15 17 19 21 23 24 26 28 30 33 35 37 39 40 42 44 46 48 50 52 54 57 59 61 63,26,0,False,57,1,UNDERDETERMINED
