run_id,outer_diameter_mm,period_mm,groove_depth_mm,h_over_d,sspp_status,mask,carrier_hz,changed_variable,claim_status
RUN_V6_SEED_00059,288,24.453477952266496,12,0.49072774120001067,WEAK_OR_UNFORMED_CANDIDATE,RUN_35_OF_37,20480,seed_grid,SIMULATION_ESTIMATE
RUN_V6_SEED_00060,288,24.453477952266496,12,0.49072774120001067,WEAK_OR_UNFORMED_CANDIDATE,RUN_35_OF_37,1683456,seed_grid,SIMULATION_ESTIMATE
RUN_V6_SEED_00061,288,24.453477952266496,12,0.49072774120001067,WEAK_OR_UNFORMED_CANDIDATE,STEER_33_ACTIVE,4096,seed_grid,SIMULATION_ESTIMATE
RUN_V6_SEED_00062,288,24.453477952266496,12,0.49072774120001067,WEAK_OR_UNFORMED_CANDIDATE,STEER_33_ACTIVE,20480,seed_grid,SIMULATION_ESTIMATE
RUN_V6_SEED_00063,288,24.453477952266496,12,0.49072774120001067,WEAK_OR_UNFORMED_CANDIDATE,STEER_33_ACTIVE,1683456,seed_grid,SIMULATION_ESTIMATE
RUN_V6_SEED_00064,288,24.453477952266496,14,0.5725156980666791,WELL_FORMED_CANDIDATE,ALL_37,4096,seed_grid,SIMULATION_ESTIMATE
RUN_V6_SEED_00065,288,24.453477952266496,14,0.5725156980666791,WELL_FORMED_CANDIDATE,ALL_37,20480,seed_grid,SIMULATION_ESTIMATE
RUN_V6_SEED_00066,288,24.453477952266496,14,0.5725156980666791,WELL_FORMED_CANDIDATE,ALL_37,1683456,seed_grid,SIMULATION_ESTIMATE
RUN_V6_SEED_00067,288,24.453477952266496,14,0.5725156980666791,WELL_FORMED_CANDIDATE,RUN_35_OF_37,4096,seed_grid,SIMULATION_ESTIMATE
RUN_V6_SEED_00068,288,24.453477952266496,14,0.5725156980666791,WELL_FORMED_CANDIDATE,RUN_35_OF_37,20480,seed_grid,SIMULATION_ESTIMATE
RUN_V6_SEED_00069,288,24.453477952266496,14,0.5725156980666791,WELL_FORMED_CANDIDATE,RUN_35_OF_37,1683456,seed_grid,SIMULATION_ESTIMATE
RUN_V6_SEED_00070,288,24.453477952266496,14,0.5725156980666791,WELL_FORMED_CANDIDATE,STEER_33_ACTIVE,4096,seed_grid,SIMULATION_ESTIMATE
RUN_V6_SEED_00071,288,24.453477952266496,14,0.5725156980666791,WELL_FORMED_CANDIDATE,STEER_33_ACTIVE,20480,seed_grid,SIMULATION_ESTIMATE
RUN_V6_SEED_00072,288,24.453477952266496,14,0.5725156980666791,WELL_FORMED_CANDIDATE,STEER_33_ACTIVE,1683456,seed_grid,SIMULATION_ESTIMATE
RUN_V6_SEED_00073,288,24.453477952266496,24,0.9814554824000213,WELL_FORMED_CANDIDATE,ALL_37,4096,seed_grid,SIMULATION_ESTIMATE
RUN_V6_SEED_00074,288,24.453477952266496,24,0.9814554824000213,WELL_FORMED_CANDIDATE,ALL_37,20480,seed_grid,SIMULATION_ESTIMATE
RUN_V6_SEED_00075,288,24.453477952266496,24,0.9814554824000213,WELL_FORMED_CANDIDATE,ALL_37,1683456,seed_grid,SIMULATION_ESTIMATE
